Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2024-08-01,2024-08-01,1234,UBER TRIP,Gas/Automotive,13.20,
2024-08-03,2024-08-03,1234,SPOTIFY USA,Entertainment,13.35,
2024-08-04,2024-08-04,1234,CVS/PHARMACY #7742,Health Care,26.35,
2024-08-05,2024-08-05,1234,CVS/PHARMACY #7742,Health Care,50.83,
2024-08-05,2024-08-05,1234,WHOLEFDS MKT 102,Grocery,117.11,
2024-08-09,2024-08-09,1234,STARBUCKS STORE 09,Dining,13.07,
2024-08-13,2024-08-13,1234,UBER TRIP,Gas/Automotive,30.31,
2024-08-14,2024-08-14,1234,UBER TRIP,Gas/Automotive,40.48,
2024-08-15,2024-08-15,1234,CVS/PHARMACY #7742,Health Care,28.37,
2024-08-15,2024-08-15,1234,PAYMENT - THANK YOU,Payment,,812.70
2024-08-17,2024-08-17,1234,WHOLEFDS MKT 102,Grocery,111.11,
2024-08-19,2024-08-19,1234,SPOTIFY USA,Entertainment,13.94,
2024-08-22,2024-08-22,1234,CVS/PHARMACY #7742,Health Care,16.93,
2024-08-23,2024-08-23,1234,SPOTIFY USA,Entertainment,15.58,
2024-08-26,2024-08-26,1234,SPOTIFY USA,Entertainment,13.84,
2024-08-28,2024-08-28,1234,UBER TRIP,Gas/Automotive,35.87,
2024-08-28,2024-08-28,1234,WHOLEFDS MKT 102,Grocery,134.11,
2024-09-02,2024-09-02,1234,WHOLEFDS MKT 102,Grocery,45.14,
2024-09-02,2024-09-02,1234,WHOLEFDS MKT 102,Grocery,112.78,
2024-09-03,2024-09-03,1234,UBER TRIP,Gas/Automotive,18.91,
2024-09-03,2024-09-03,1234,WHOLEFDS MKT 102,Grocery,102.91,
2024-09-05,2024-09-05,1234,STARBUCKS STORE 09,Dining,10.64,
2024-09-05,2024-09-05,1234,WHOLEFDS MKT 102,Grocery,69.42,
2024-09-13,2024-09-13,1234,SPOTIFY USA,Entertainment,12.57,
2024-09-15,2024-09-15,1234,PAYMENT - THANK YOU,Payment,,630.35
2024-09-17,2024-09-17,1234,STARBUCKS STORE 09,Dining,10.73,
2024-09-18,2024-09-18,1234,CVS/PHARMACY #7742,Health Care,32.72,
2024-09-23,2024-09-23,1234,STARBUCKS STORE 09,Dining,11.87,
2024-09-26,2024-09-26,1234,SPOTIFY USA,Entertainment,14.61,
2024-10-02,2024-10-02,1234,SPOTIFY USA,Entertainment,15.17,
2024-10-02,2024-10-02,1234,UBER TRIP,Gas/Automotive,9.72,
2024-10-07,2024-10-07,1234,CVS/PHARMACY #7742,Health Care,8.55,
2024-10-08,2024-10-08,1234,SPOTIFY USA,Entertainment,15.00,
2024-10-08,2024-10-08,1234,WHOLEFDS MKT 102,Grocery,94.91,
2024-10-08,2024-10-08,1234,WHOLEFDS MKT 102,Grocery,102.44,
2024-10-10,2024-10-10,1234,CVS/PHARMACY #7742,Health Care,68.61,
2024-10-12,2024-10-12,1234,CVS/PHARMACY #7742,Health Care,63.97,
2024-10-12,2024-10-12,1234,SPOTIFY USA,Entertainment,12.36,
2024-10-14,2024-10-14,1234,STARBUCKS STORE 09,Dining,11.34,
2024-10-15,2024-10-15,1234,PAYMENT - THANK YOU,Payment,,647.85
2024-10-16,2024-10-16,1234,UBER TRIP,Gas/Automotive,38.20,
2024-10-17,2024-10-17,1234,CVS/PHARMACY #7742,Health Care,13.53,
2024-10-21,2024-10-21,1234,UBER TRIP,Gas/Automotive,22.86,
2024-10-21,2024-10-21,1234,WHOLEFDS MKT 102,Grocery,133.14,
2024-11-02,2024-11-02,1234,SPOTIFY USA,Entertainment,12.28,
2024-11-02,2024-11-02,1234,SPOTIFY USA,Entertainment,15.26,
2024-11-03,2024-11-03,1234,CVS/PHARMACY #7742,Health Care,84.39,
2024-11-06,2024-11-06,1234,SPOTIFY USA,Entertainment,13.36,
2024-11-07,2024-11-07,1234,WHOLEFDS MKT 102,Grocery,69.23,
2024-11-08,2024-11-08,1234,UBER TRIP,Gas/Automotive,25.01,
2024-11-09,2024-11-09,1234,STARBUCKS STORE 09,Dining,11.84,
2024-11-10,2024-11-10,1234,STARBUCKS STORE 09,Dining,5.98,
2024-11-10,2024-11-10,1234,WHOLEFDS MKT 102,Grocery,125.41,
2024-11-11,2024-11-11,1234,CVS/PHARMACY #7742,Health Care,23.64,
2024-11-15,2024-11-15,1234,PAYMENT - THANK YOU,Payment,,726.23
2024-11-20,2024-11-20,1234,SPOTIFY USA,Entertainment,11.85,
2024-11-20,2024-11-20,1234,UBER TRIP,Gas/Automotive,13.83,
2024-11-20,2024-11-20,1234,UBER TRIP,Gas/Automotive,15.18,
2024-11-22,2024-11-22,1234,UBER TRIP,Gas/Automotive,10.86,
2024-11-24,2024-11-24,1234,CVS/PHARMACY #7742,Health Care,17.28,
2024-12-02,2024-12-02,1234,WHOLEFDS MKT 102,Grocery,77.74,
2024-12-03,2024-12-03,1234,SPOTIFY USA,Entertainment,11.30,
2024-12-03,2024-12-03,1234,STARBUCKS STORE 09,Dining,7.52,
2024-12-04,2024-12-04,1234,UBER TRIP,Gas/Automotive,27.52,
2024-12-07,2024-12-07,1234,CVS/PHARMACY #7742,Health Care,38.56,
2024-12-12,2024-12-12,1234,CVS/PHARMACY #7742,Health Care,68.46,
2024-12-12,2024-12-12,1234,WHOLEFDS MKT 102,Grocery,148.42,
2024-12-14,2024-12-14,1234,UBER TRIP,Gas/Automotive,40.53,
2024-12-15,2024-12-15,1234,CVS/PHARMACY #7742,Health Care,23.83,
2024-12-15,2024-12-15,1234,PAYMENT - THANK YOU,Payment,,605.40
2024-12-15,2024-12-15,1234,WHOLEFDS MKT 102,Grocery,62.77,
2024-12-16,2024-12-16,1234,CVS/PHARMACY #7742,Health Care,10.48,
2024-12-24,2024-12-24,1234,WHOLEFDS MKT 102,Grocery,84.76,
2024-12-25,2024-12-25,1234,SPOTIFY USA,Entertainment,15.93,
2024-12-25,2024-12-25,1234,UBER TRIP,Gas/Automotive,15.84,
2024-12-27,2024-12-27,1234,SPOTIFY USA,Entertainment,15.82,
2025-01-01,2025-01-01,1234,SPOTIFY USA,Entertainment,15.96,
2025-01-02,2025-01-02,1234,WHOLEFDS MKT 102,Grocery,71.99,
2025-01-02,2025-01-02,1234,WHOLEFDS MKT 102,Grocery,84.43,
2025-01-09,2025-01-09,1234,UBER TRIP,Gas/Automotive,18.81,
2025-01-12,2025-01-12,1234,STARBUCKS STORE 09,Dining,7.45,
2025-01-15,2025-01-15,1234,PAYMENT - THANK YOU,Payment,,632.87
2025-01-15,2025-01-15,1234,WHOLEFDS MKT 102,Grocery,51.57,
2025-01-16,2025-01-16,1234,CVS/PHARMACY #7742,Health Care,66.68,
2025-01-20,2025-01-20,1234,STARBUCKS STORE 09,Dining,5.39,
2025-01-24,2025-01-24,1234,STARBUCKS STORE 09,Dining,11.45,
2025-01-24,2025-01-24,1234,UBER TRIP,Gas/Automotive,33.94,
2025-01-24,2025-01-24,1234,WHOLEFDS MKT 102,Grocery,51.60,
2025-01-26,2025-01-26,1234,UBER TRIP,Gas/Automotive,29.92,
2025-02-04,2025-02-04,1234,CVS/PHARMACY #7742,Health Care,89.00,
2025-02-05,2025-02-05,1234,STARBUCKS STORE 09,Dining,10.47,
2025-02-05,2025-02-05,1234,WHOLEFDS MKT 102,Grocery,142.45,
2025-02-06,2025-02-06,1234,CVS/PHARMACY #7742,Health Care,88.38,
2025-02-06,2025-02-06,1234,UBER TRIP,Gas/Automotive,17.16,
2025-02-06,2025-02-06,1234,WHOLEFDS MKT 102,Grocery,45.91,
2025-02-07,2025-02-07,1234,UBER TRIP,Gas/Automotive,21.93,
2025-02-09,2025-02-09,1234,CVS/PHARMACY #7742,Health Care,59.22,
2025-02-11,2025-02-11,1234,STARBUCKS STORE 09,Dining,12.75,
2025-02-12,2025-02-12,1234,UBER TRIP,Gas/Automotive,34.87,
2025-02-14,2025-02-14,1234,WHOLEFDS MKT 102,Grocery,130.55,
2025-02-15,2025-02-15,1234,PAYMENT - THANK YOU,Payment,,504.17
2025-02-20,2025-02-20,1234,UBER TRIP,Gas/Automotive,11.61,
2025-02-21,2025-02-21,1234,SPOTIFY USA,Entertainment,11.20,
2025-02-26,2025-02-26,1234,WHOLEFDS MKT 102,Grocery,71.36,
2025-02-27,2025-02-27,1234,STARBUCKS STORE 09,Dining,11.23,
2025-03-05,2025-03-05,1234,CVS/PHARMACY #7742,Health Care,31.07,
2025-03-05,2025-03-05,1234,WHOLEFDS MKT 102,Grocery,88.77,
2025-03-06,2025-03-06,1234,CVS/PHARMACY #7742,Health Care,28.12,
2025-03-09,2025-03-09,1234,SPOTIFY USA,Entertainment,12.20,
